# file...... ./glm_output/meter_39.csv
# date...... Wed Mar  8 16:08:39 2023
# user...... deras
# host...... (null)
# trigger... (none)
# interval.. 60
# limit..... 0
# timestamp,trip_node_meter_950:measured_real_power,trip_node_meter_951:measured_real_power,trip_node_meter_952:measured_real_power,trip_node_meter_953:measured_real_power,trip_node_meter_954:measured_real_power,trip_node_meter_955:measured_real_power,trip_node_meter_956:measured_real_power,trip_node_meter_957:measured_real_power,trip_node_meter_958:measured_real_power,trip_node_meter_959:measured_real_power
2021-12-25 03:39:00 UTC,+4435.5,+0,+0,+0,+0,+0,+0,+4433.08,+0,+4433.08
2021-12-25 03:40:00 UTC,+4431.55,+0,+0,+0,+0,+0,+0,+4429.14,+0,+4429.14
2021-12-25 03:41:00 UTC,+4441.04,+0,+0,+0,+0,+0,+0,+4441.04,+0,+4441.04
2021-12-25 03:42:00 UTC,+4441.19,+0,+0,+0,+0,+0,+0,+4443.61,+0,+0
2021-12-25 03:43:00 UTC,+4447.9,+0,+0,+0,+0,+0,+0,+0,+0,+0
2021-12-25 03:44:00 UTC,+4442.74,+0,+0,+0,+0,+0,+0,+0,+0,+0
2021-12-25 03:45:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2021-12-25 03:46:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2021-12-25 03:47:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2021-12-25 03:48:00 UTC,+0,+0,+0,+0,+4429.66,+0,+0,+0,+0,+0
2021-12-25 03:49:00 UTC,+0,+0,+0,+0,+4412.74,+0,+0,+0,+0,+0
2021-12-25 03:50:00 UTC,+0,+0,+0,+0,+4412.45,+0,+0,+0,+0,+0
2021-12-25 03:51:00 UTC,+0,+0,+0,+0,+4410.72,+0,+0,+0,+0,+0
2021-12-25 03:52:00 UTC,+0,+0,+0,+4412.35,+4412.35,+0,+0,+0,+0,+0
2021-12-25 03:53:00 UTC,+0,+0,+0,+4419.69,+4419.69,+0,+0,+0,+0,+0
2021-12-25 03:54:00 UTC,+0,+0,+0,+4422.34,+4422.34,+0,+0,+0,+0,+0
2021-12-25 03:55:00 UTC,+0,+0,+0,+4413,+4413,+0,+0,+0,+0,+0
2021-12-25 03:56:00 UTC,+0,+0,+0,+4417.18,+4417.18,+0,+0,+0,+0,+0
2021-12-25 03:57:00 UTC,+0,+0,+0,+4429.46,+0,+0,+0,+0,+0,+0
2021-12-25 03:58:00 UTC,+0,+0,+4428.72,+4428.72,+0,+0,+0,+0,+0,+0
2021-12-25 03:59:00 UTC,+0,+0,+4436.09,+4436.09,+0,+0,+0,+0,+0,+0
